# id	name	race	hp	atk	def	agi	mp	bprate	skills
1	虎人	0	22	26	17	19	16	0.2	7
2	貓妖	0	19	24	17	28	17	0.2	7
3	羅剎	0	24	25	14	22	20	0.2	3
4	貓人	0	23	27	15	26	14	0.2	5
5	惡魔貓	0	21	23	12	27	22	0.2	3
6	妖狐	0	18	30	11	25	26	0.2	5
7	穴熊	0	34	34	19	19	14	0.2	8
8	赤熊	0	35	36	15	20	14	0.2	8
9	北極熊	0	36	33	22	18	11	0.2	2
10	赤目黑熊	0	33	35	14	22	16	0.2	2
11	貓熊	0	32	40	18	17	18	0.2	5
12	大地鼠	0	6	13	20	26	35	0.2	10
13	惡夢鼠	0	4	8	18	33	37	0.2	10
14	火焰鼠	0	7	12	15	34	32	0.2	10
15	寶石鼠	0	7	7	22	27	37	0.2	10
16	水藍鼠	0	11	15	28	28	33	0.2	5
17	鼠王	0	15	7	19	32	42	0.2	5
18	地獄看門犬	0	26	36	12	23	18	0.2	6
19	巨狼	0	22	37	11	25	20	0.2	6
20	地獄獵犬	0	24	35	19	22	15	0.2	6
21	地獄妖犬	0	23	40	13	21	18	0.2	6
22	殭屍	1	37	32	12	12	12	0.2	6
23	喪屍	1	35	34	7	15	14	0.2	6
24	食屍鬼	1	32	32	17	7	17	0.2	6
25	腐屍	1	42	37	12	7	7	0.2	6
26	木乃伊	1	39	32	14	8	17	0.2	5
27	骷髏戰士	1	12	27	42	12	17	0.2	7
28	血骷髏	1	13	24	41	10	22	0.2	7
29	地獄骷髏	1	14	30	40	11	15	0.2	7
30	武裝骷髏	1	9	26	47	8	20	0.2	7
31	骷髏海盜	1	12	29	45	13	16	0.2	5
32	幽靈	1	19	18	31	20	27	0.2	2
33	鬼靈	1	9	21	27	25	33	0.2	8
34	亡靈	1	14	27	30	15	29	0.2	2
35	死靈	1	10	28	32	17	28	0.2	8
36	小石像怪	2	16	21	11	31	26	0.2	5
37	使魔	2	21	20	15	27	27	0.3	7
38	水藍鳥魔	2	22	23	10	25	25	0.2	3
39	小惡魔	2	21	20	9	25	30	0.2	3
40	迷你石像怪	2	23	19	10	24	29	0.2	3
41	丘比特	2	12	22	7	37	37	0.2	5
42	石像怪	2	14	30	32	22	22	0.2	1
43	血魔	2	13	31	26	25	25	0.2	1
44	墮天使	2	11	28	28	27	26	0.2	1
45	惡魔	2	10	27	26	26	31	0.2	1
46	小蝙蝠	2	11	26	16	31	21	0.3	6
47	掃把蝙蝠	2	13	28	12	29	18	0.2	6
48	迷你蝙蝠	2	11	26	20	27	16	0.2	6
49	水果蝙蝠	2	17	25	15	26	17	0.2	6
50	惡魔蝙蝠	2	13	34	10	29	24	0.2	8
51	天使蝙蝠	2	9	22	12	37	30	0.2	8
52	大蝙蝠	2	23	28	23	28	13	0.2	7
53	巨蝙蝠	2	27	30	22	24	12	0.2	3
54	海蝙蝠	2	18	29	27	30	11	0.2	3
55	胖蝙蝠	2	25	24	20	26	20	0.2	7
56	兔耳蝙蝠	2	21	26	18	31	14	0.2	5
57	藍蠍	3	20	27	47	13	8	0.2	9
58	紅蠍	3	19	28	42	19	7	0.2	9
59	黃蠍	3	20	30	43	12	10	0.2	9
60	殺手蠍	3	30	29	38	11	7	0.2	9
61	殺人蜂	3	12	37	12	37	12	0.2	5
62	異型蜂	3	14	33	11	35	17	0.2	5
63	虎頭蜂	3	13	40	8	38	11	0.2	3
64	黃蜂	3	10	38	13	43	6	0.2	7
65	死亡蜂	3	7	39	15	41	8	0.2	7
66	螳螂	3	16	44	22	27	11	0.2	4
67	殺人螳螂	3	12	45	20	26	17	0.2	4
68	赤目螳螂	3	14	44	19	29	14	0.2	4
69	死灰螳螂	3	15	40	17	33	15	0.2	5
70	致命螳螂	3	20	43	18	27	12	0.2	4
71	土蜘蛛	3	26	15	18	23	23	0.2	10
72	水蜘蛛	3	24	16	17	20	28	0.2	10
73	火蜘蛛	3	22	22	16	25	20	0.2	10
